subject,text,priority,queue
Rechnungsfrage zur letzten Transaktion,"Sehr geehrte Damen und Herren,

ich benötige eine Kopie der letzten Rechnung, die wir für das Azure Betriebssoftware-Package erhalten haben. Bitte senden Sie diese an unser Finanzteam unter billing@toprakindustries.de. Vielen Dank für Ihre Unterstützung.

Mit freundlichen Grüßen,
Selman Toprak",2,Buchhaltung
Rechtsanfrage Arbeitsrecht,"Hallo liebe Buchhaltung, ich hätte eine Frage zu den gesetzlichen Ruhezeiten für Mitarbeiter im Bezug auf Nachtarbeit. Gibt es spezifische Regelungen oder Anpassungen, die wir als Unternehmen beachten müssen? Für detaillierte Informationen wäre ich Ihnen sehr dankbar. Vielen Dank im Voraus für Ihre Hilfe! Liebe Grüße, Krissi Bastian",1,Buchhaltung
Update-Anfrage für Khan Academy,"Hallo Support-Team, könnte ich ein Update für die Khan Academy Software erhalten? Mein Konto: ASR121122. Eilt nicht, bitte nach Verfügbarkeit. Danke!",1,Software
Netfirms – Frage zur Anpassung,"Hallo Kundensupport Team, hiermit möchte ich eine kleine Anpassung der Funktionalität meiner Netfirms Software anfragen. Konkret möchte ich wissen, ob es möglich ist, die Benutzeroberfläche nach individuellen Vorgaben zu gestalten, und welche Kosten dies verursachen würde. Über eine zeitnahe Rückmeldung würde ich mich freuen. Danke, Mujo Tekin",1,Software
Dringend: Liquid Cooling System ausgefallen!,"Hallo Support, mein Liquid Cooling System ist ausgefallen und mein PC überhitzt ständig. Ich brauche dringend Hilfe!",3,Hardware
Frage zu Xero Practice Manager Lizenzupgrade,"Sehr geehrte Damen und Herren, ich nutze Xero Practice Manager seit einigen Monaten und bin sehr zufrieden. Nun erwäge ich, ein Lizenzupgrade durchzuführen, um weitere Funktionen zu nutzen. Können Sie mir mitteilen, welche Optionen ich habe und was die jeweiligen Kosten wären? Eine baldige Antwort würde mir sehr helfen, um das Budget zu planen. Mit freundlichen Grüßen, Floh Hellmann",2,Software
Directional Antenna funktioniert nicht,"Hallo Kundensupport, meine kürzlich bei Ihnen erworbene Directional Antenna hat plötzlich den Betrieb eingestellt. Gerät zeigt keine LED-Anzeigen und verbindet sich nicht mehr mit dem Router. Dringende Hilfe erforderlich, da ich es geschäftlich dringend benötige. Danke und viele Grüße, Emira Kus",3,Hardware
Probleme mit Spiegelloser Kamera,"Hallo Kundensupport, meine Spiegellose Kamera zeigt ab und zu Streifen auf den Fotos. Das passiert, egal welche Lichtverhältnisse vorliegen oder welche Linse ich nutze. Habe die neusten Firmware-Updates installiert, aber das Problem bleibt. Danke, Ivanka Ivanov.",1,Hardware
Sicherheitserhebliches Update für verschlüsselte Rechnung verlangt,"Sehr geehrte Damen und Herren, benötige dringend eine spezifische Verschlüsselung für meine Rechnungen. Bitte umgehend ein Sicherheitsupdate. Vielen Dank, Liri Götz.",3,Buchhaltung
Anfrage zur Bedienung Pre-amplifier,"Sehr geehrte Damen und Herren, ich habe mir kürzlich den Pre-amplifier bei Ihnen gekauft. Können Sie mir bitte weiterhelfen, wie ich das Gerät korrekt bediene? Die Anleitung war leider nicht sehr hilfreich. Mit freundlichen Grüßen, Jeannette Kluth",1,Hardware
Tolles Kundenservice-Erlebnis,"Sehr geehrte Damen und Herren, ich möchte Ihnen ein großes Lob für Ihren ausgezeichneten Kundenservice aussprechen. Ihre schnelle Reaktion und Problemlösungen sind beispielhaft! Weiter so! Mit freundlichen Grüßen, Arndt Ince",1,Buchhaltung
Support für 'Know Your Customer' funktioniert ein Modul nicht,"Sehr geehrte Damen und Herren, ich nutze seit kurzem Ihre 'Know Your Customer' Software. Allerdings habe ich festgestellt, dass ein Modul beim Laden hängen bleibt. Können Sie das bitte prüfen? Vielen Dank! Mit freundlichen Grüßen, Alkan Wilkens",1,Software
Dringende rechtliche Frage zum Vertragsrecht,"Sehr geehrte Damen und Herren, ich habe eine sehr dringende rechtliche Anfrage zum Vertragsrecht. Wir haben einen neuen Mitarbeitervertrag erstellt, bin aber unsicher wegen der Formulierungen zu den Kündigungsfristen und den Datenschutzrichtlinien. Könnten Sie das bitte schnell überprüfen und mich zurückrufen? Vielen Dank, Asja Schulz",3,Buchhaltung
Feedback zur neuen ThinkPad Hardware,"Sehr geehrte Damen und Herren, ich habe vor zwei Wochen mein neues ThinkPad von Ihnen erhalten und wollte eine positive Rückmeldung geben. Die Leistung und Verarbeitung sind erstklassig. Keine Notwendigkeit zum Eingreifen, aber ich dachte, Sie sollten wissen, dass ich sehr zufrieden bin. Viele Grüße, Sen Abel",1,Hardware
Änderung des Ansprechpartner auf der nächsten Rechnung,"Sehr geehrte Damen und Herren,
bitte ändern Sie den Ansprechpartner auf unserer nächsten Rechnung. Die bisherigen Angaben können entfernt werden, und stattdessen tragen Sie bitte Frau Dr. Schmidt als neuen Ansprechpartner ein. Bei Fragen kontaktieren Sie mich bitte über meine Mail-Adresse.
Mit freundlichen Grüßen,
Vasiliki Wehner",2,Buchhaltung
Dringende Bedürfnisse an Schulungen,"Hallo Kundensupport, ich bin Gunar Linden, Kundennummer #473829. Unsere Mitarbeiter benötigen dringend Schulungen in den Bereichen Projektmanagement und Datenanalyse, um ihre Fähigkeiten zu verbessern und unsere Effizienz zu steigern. Gibt es dafür mögliche Kostenübernahmen oder Angebote? Vielen Dank im Voraus.",3,Buchhaltung
Unklarer Betrag auf letzter Rechnung,"Sehr geehrte Damen und Herren, ich habe auf meiner letzten Rechnung (Nummer: 123456789) einen unklaren Betrag in Höhe von 58,34€ entdeckt. Könnten Sie bitte erläutern, worum es sich dabei handelt? Vielen Dank, Katalin Daum",1,Buchhaltung
Google Ad Manager-Zugang plötzlich gesperrt,"Hallo Kundensupport, seit heute früh ist mein Zugang zu Google Ad Manager gesperrt, obwohl ich dringend Kampagnen verwalten muss. Könnt Ihr bitte schnell eine Lösung finden? Gruß, Jeanette Yazici",3,Software
Problem mit Belkin N600 Dual-Band Wi-Fi Range Extender,"Hallo Kundensupport, mein neuer Belkin N600 Dual-Band Wi-Fi Range Extender verliert regelmäßig die Verbindung. Wie kann ich dieses Problem lösen? LG, Schirin Neumann",2,Hardware
Problem mit Micro-ATX Gehäuse,"Sehr geehrte Damen und Herren, 
Vor kurzem habe ich bei Ihnen ein Micro-ATX Gehäuse gekauft (Bestellnummer: 30298456). Leider passt mein Mainboard nicht richtig hinein, obwohl die Produktbeschreibung dieses Gehäuses behauptet, es sei kompatibel. Können Sie mir bitte erklären, was ich tun kann? Ich wäre für eine rasche Antwort sehr dankbar. 
Mit freundlichen Grüßen, 
Alissa Koslowski",2,Hardware
Frage zu Anpassung der M&A Software,"Sehr geehrtes Support-Team,

ich nutze seit einer Weile die M&A Software und möchte wissen, ob es möglich ist, benutzerdefinierte Felder hinzuzufügen. Diese Funktion wäre für mein Team sehr hilfreich.

Vielen Dank und freundliche Grüße,
Dajana Dy",2,Software
Robot Vacuum lädt nicht mehr,"Sehr geehrte Damen und Herren, mein Robot Vacuum saugt nicht mehr, ich habe alles ausprobiert, er lässt sich auch nicht mehr aufladen. Ich benötige ihn dringend.",3,Hardware
Sitecore startet nach Installation des Updates nicht,"Sehr geehrte Damen und Herren, nach dem Update startet meine Sitecore-Installation nicht mehr und zeigt nur einen Fehlerbildschirm an. Bitte um schnelle Hilfe! Anneli In.",3,Software
Frage zur Funktionsweise des neuen Optical Drives,"Sehr geehrte Damen und Herren, ich habe vor kurzem das neue Optical Drive bei Ihnen erworben (Bestellnummer: #57583929). Nun habe ich eine Frage zur Funktionsweise des Laufwerks: Gibt es eine Möglichkeit, die automatische Auswurffunktion zu deaktivieren? Wäre super, wenn Sie mir da weiterhelfen könnten. Vielen Dank im Voraus! Mit besten Grüßen, Theodora Bellmann",1,Hardware
Positives Feedback zu Ihrem Rechnungssystem,"Liebes Buchhaltungsteam,

ich möchte Ihnen ein positives Feedback zu Ihrem neuen Rechnungssystem geben. Es ist sehr benutzerfreundlich und spart viel Zeit bei der Verwaltung. Besonders begeistert bin ich von der Übersichtlichkeit und den automatischen Benachrichtigungen. Vielen Dank für dieses grandiose System!

Mit freundlichen Grüßen,
Bahar Reimers",1,Buchhaltung
Problem mit QNAP TS-453D NAS,"Sehr geehrte Damen und Herren,
mein QNAP TS-453D NAS zeigt seit einigen Tagen sporadisch Festplattenfehler an und läuft nicht mehr stabil. Ich nutze es primär für Datensicherungen und die Fehler führen zu Unterbrechungen, was besorgniserregend ist. Haben Sie Ratschläge zur Behebung oder einen Vorschlag für eine mögliche Reparatur?
Vielen Dank im Voraus.
Mit freundlichen Grüßen,
Berni Preuß",2,Hardware
Probleme bei der Benutzung von CAM Software,"Sehr geehrtes Support-Team, ich habe vor kurzem CAM Software installiert und bekomme ständig Fehlermeldungen. Können Sie mir bitte weiterhelfen? Besten Dank, Saniye Förster",2,Software
Dringende Klärung | Steuerdaten Mitarbeiter 2023,"Sehr geehrtes Buchhaltungsteam,

wir benötigen dringend eine Klärung der Steuerdaten für unseren Mitarbeiter Lukas Schmidt für das Jahr 2023. Die Angaben sind unvollständig und beeinträchtigen die Gehaltsabrechnung. Bitte schnellstmöglich um Korrektur und Rückmeldung!

Mit freundlichen Grüßen,
Blumen Lux",3,Buchhaltung
Frage zu Microsoft Business Center Lizenz,"Sehr geehrte Damen und Herren, ich hätte eine Frage zu meiner aktuellen Microsoft Business Center Lizenz. Könnten Sie mir mitteilen, ob es möglich wäre, einen Upgrade auf die nächsthöhere Version durchzuführen und was hierfür die Kosten wären? Vielen Dank im Voraus! Mit besten Grüßen, Ulli Pilz",1,Software
Angebotsanfrage für zusätzliche Software-Lizenzen,"Hallo Kundensupport-Team, wir benötigen zusätzliche Lizenzen für Ihre POS-Software für unsere neuen Filialen. Könnten Sie uns bitte ein entsprechendes Angebot für 10 Lizenzen zusenden, inklusive Rabatte, wenn verfügbar? Unsere Kundennummer ist 987654. Vielen Dank im Voraus und beste Grüße, Mareike Wrobel.",2,Buchhaltung
Anpassung der Helligkeit am interaktiven Whiteboard,"Hallo Kundensupport, bei meinem interaktiven Whiteboard funktioniert die Helligkeitsanpassung nicht optimal. Ich habe bereits das Menü durchgesehen und verschiedene Einstellungen ausprobiert, aber die Helligkeit passt sich immer noch nicht korrekt an. Es wäre super, wenn Sie mir Anleitung oder Tipps geben könnten, wie ich das Problem beheben kann. Vielen Dank im Voraus, Tilo Ruf",1,Hardware
Smart Lock erkennt Fingerabdruck nicht,"Sehr geehrte Damen und Herren, mein Smart Lock, welches ich vor kurzem bei Ihnen erworben habe, erkennt seit gestern meinen Fingerabdruck nicht mehr. Ich habe bereits versucht, meinen Fingerabdruck neu zu registrieren, aber es funktionierte leider nicht. Model: Smart Lock SX12345. Können Sie mir bitte weiterhelfen? Vielen Dank und herzliche Grüße, Dorthe Grüner",2,Hardware
Card Reader – Lädt keine Karten mehr,"Hallo Support-Team,
ich habe seit Kurzem ein Problem mit meinem Card Reader (Bestellnummer: CR892345). Das Gerät erkennt keine Karten mehr und zeigt nur noch eine rote LED an. Der Reader wurde erst vor einem halben Jahr bei Ihnen gekauft. Können Sie mir bitte helfen, das Problem zu lösen? Würde mich über schnelle Rückmeldung freuen!
Vielen Dank und Grüße,
Merve Rösler",2,Hardware
FireWire Cable funktioniert nicht korrekt,"Hallo Kundensupport,

Mein kürzlich erworbenes FireWire-Kabel scheint nicht richtig zu funktionieren. Wenn ich es benutze, wird mein externer Speicher nicht erkannt. Ich habe bereits verschiedene Geräte und USB-Ports ausprobiert, aber nichts hilft. Können Sie mir bitte weiterhelfen?

Besten Dank,
Haluk Post",2,Hardware
Anfrage zur Rücksendung - Bestellnummer 348932-A,"Sehr geehrte Damen und Herren, ich möchte ein kürzlich gekauftes Produkt (Bestellnummer 348932-A) zurücksenden, da es nicht meinen Erwartungen entsprach. Können Sie mich über den Rücksendeprozess informieren und mir ein Retourenlabel schicken? Vielen Dank und freundliche Grüße, Gülüzar Wieser",1,Buchhaltung
Klärung bezüglich Mitarbeiterbonus,"Sehr geehrte Damen und Herren,

ich bin Addi Hasani, Mitarbeiter der Firma. Mir ist aufgefallen, dass mein Bonus für das letzte Quartal nicht richtig berechnet wurde. Es scheint, als wären bestimmte Leistungen nicht berücksichtigt worden. Könnten Sie dies bitte überprüfen und mir zeitnah eine Rückmeldung zukommen lassen?

Vielen Dank und freundliche Grüße,
Addi Hasani",2,Buchhaltung
RAM wird nicht erkannt - extrem dringlich!,Mein RAM wird von meinem Rechner nicht erkannt. Dringend Hilfe!,3,Hardware
File Sharing Anmeldeproblem,"Sehr geehrte Damen und Herren, ich habe ein Problem mit der Anmeldung bei Ihrem File Sharing-Produkt. Mein Passwort scheint nicht zu funktionieren und ich kann keinen Zugriff erhalten. Können Sie das für mich überprüfen? Dankeschön, Pascal Gerdes",2,Software
Dringende Rechnungsklärung erforderlich,"Sehr geehrte Damen und Herren, unsere letzte Zahlung über 2.394,50€ ist offenbar nicht korrekt erfasst worden. Wir benötigen dringend eine aktualisierte Rechnung sowie eine Bestätigung der korrekten Zahlung. Mit freundlichen Grüßen, Annekatrin Fe",3,Buchhaltung
Aspire Laptop - Lautstärkeregelung Probleme,"Hallo Kundensupport, ich habe festgestellt, dass die Lautstärkeregelung bei meinem Aspire Laptop seit einigen Tagen nicht mehr richtig funktioniert. Können Sie mir weiterhelfen? Danke!",1,Hardware
Rechnungsanfrage - Streif GmbH,"Hallo, ich benötige dringend eine aktualisierte Rechnung für die Bestellung #7845 unter Angabe des neuen Unternehmensnamens Streif GmbH. Der Steuerberater drängt mich diese Woche dazu, danke! Grüße, Sena Giese",3,Buchhaltung
OLED-Monitor bleibt schwarz,"Sehr geehrtes Supportteam, mein neuer OLED-Monitor zeigt plötzlich kein Bild mehr an, obwohl er leuchtet. Ein schnelles Eingreifen wäre sehr hilfreich.",3,Hardware
Plantronics Voyager Focus UC Bluetooth-Verbindungsproblem,"Hallo Kundensupport, ich habe mir vor kurzem das Plantronics Voyager Focus UC Headset gekauft. Seit ein paar Tagen habe ich allerdings Schwierigkeiten, die Bluetooth-Verbindung aufrechtzuerhalten. Die Verbindung bricht ständig ab und manchmal findet das Gerät gar keine Verbindung. Wäre es möglich, dass ich einige Tipps zu möglichen Lösungen bekomme? Vielen Dank im Voraus für Ihre Hilfe! Mit freundlichen Grüßen, Cindy Kreutz",1,Hardware
Funktionstörung beim Smart-Druckkochtopf,"Hallo Support-Team, ich habe kürzlich einen Smart-Druckkochtopf gekauft und nun zeigt das Display Fehlercodes an und das Gerät heizt nicht mehr. Ich habe bereits einen Neustart versucht, aber leider ohne Erfolg. VG, Bassel Leopold",2,Hardware
Frage zum Jahresabschluss 2022,"Sehr geehrte Damen und Herren, hiermit stelle ich eine Frage hinsichtlich unserer Jahresabschlusserstellung fürs Geschäftsjahr 2022. Könnten Sie mir eine Aufteilung der Kosten unserer Mitarbeiter unter den verschiedenen Kategorien zusenden? Vielen Dank! Mit freundlichen Grüßen, Constantin Schauer.",1,Buchhaltung
Unschöner visueller Bug im Pinterest Ads Manager,"Sehr geehrtes Support-Team, ich wollte Sie auf einen visuellen Bug im Pinterest Ads Manager hinweisen. Sobald ich eine Kampagne erstelle und die Vorschau betrachte, überlappen sich die Textfelder und Schaltflächen, was die Bedienung erschwert. Könnten Sie das bitte bei einem der nächsten Updates beheben? Vielen Dank im Voraus und viele Grüße, Neslihan Freund",1,Software
Leistungsprobleme mit New Relic Reports,"Hallo liebes Support-Team,

ich habe bei der Nutzung von New Relic festgestellt, dass die Reports viel langsamer laufen als früher. Es dauert mehrere Minuten, bis ein einfaches Dashboard geladen wird. Wir haben bereits unsere Systemressourcen überprüft, aber alles scheint in Ordnung zu sein.

Könntet ihr das bitte für mich überprüfen?

Vielen Dank und herzliche Grüße,
Georgios Mehmeti",2,Software
Anfrage: HDMI Kabel - Funktionalität prüfen,"Sehr geehrte Damen und Herren, ich habe bei meinem letzten Einkauf bei Ihnen ein HDMI Kabel (Bestellnummer: HDC1029384) erworben. Leider scheint es nicht korrekt zu funktionieren, da ich keine Bild- und Tonübertragung erhalte. Können Sie mir sagen, wie ich das Problem beheben oder ob ich einen Ersatz erhalten kann? Vielen Dank im Voraus! Mit freundlichen Grüßen, Vi Janzen",1,Hardware
Probleme mit FL Studio 20.8 nach Update,"Hallo Support-Team, seit dem letzten Update von FL Studio 20.8 stürzt das Programm immer wieder ab und ich kann meine Projekte nicht mehr speichern. Das betrifft meine Arbeit sehr. Bitte um schnelle Hilfe, danke! MfG, Madita Akin",2,Software
Rechnung dringend benötigt,"Sehr geehrte Damen und Herren, meine Buchhaltung hat dringend die Rechnung #202300412 vom 15.09.2023, um die Steuererklärung fristgerecht einzureichen. Können Sie mir diese bitte umgehend zusenden? Vielen Dank! Melle Kayser",3,Buchhaltung
Frage zur Rücksendung von Artikel #12345,"Sehr geehrte Damen und Herren,

ich möchte gerne den Artikel mit der Bestellnummer 12345, den ich letzte Woche erhalten habe, zurücksenden. Leider kann ich auf Ihrer Webseite keine genauen Informationen zum Rücksendeprozess finden. Welche Schritte muss ich durchführen, um eine Rücksendung korrekt abzuwickeln? Benötige ich ein Rücksendeetikett oder eine Referenznummer?

Vielen Dank für Ihre Hilfe.

Mit freundlichen Grüßen,
Süheyla Teske",1,Buchhaltung
"Frage zur Gehaltsabrechnung: Sabine Arnold, Mai 2023","Sehr geehrte Damen und Herren, ich habe eine Frage zu meiner Gehaltsabrechnung für den Monat Mai 2023. Es scheint, als ob einige Stunden fehlen und die Abzüge nicht korrekt sind. Könnten Sie das bitte überprüfen? Vielen Dank und viele Grüße, Sabine Arnold.",2,Buchhaltung
IBM Cloud Dashboard hängt oft,"Hallo Support-Team, mein IBM Cloud Dashboard hängt oft. Können Sie das prüfen? Beste Grüße, Meister Grunwald",2,Software
Dringend: Sicherheitsaudit-Arbeitsplatz,"Hallo Team, gab es letztens Mängel oder Sicherheitsbedenken bei mir? Wichtiger klärungsbedürfnis.",3,Buchhaltung
Workstation lässt sich nicht einschalten,"Sehr geehrte Damen und Herren, meine Workstation startet nicht mehr. Ich habe sie dringend für meine Arbeit. Bitte um schnelle Hilfe. Danke, Yurdagül Boehm",3,Hardware
Anfrage zur Gehaltsabrechnung und Urlaubsanspruch,"Sehr geehrte Damen und Herren,

ich habe eine Frage zu meiner letzten Gehaltsabrechnung. Könnten Sie bitte überprüfen, ob alle Überstunden korrekt berechnet wurden? Des Weiteren wollte ich nachfragen, wie viele Urlaubstage mir dieses Jahr noch zustehen. Vielen Dank im Voraus.

Mit freundlichen Grüßen,
Mervan Merk",2,Buchhaltung
Stylus funktioniert nicht mehr,"Hallo Kundensupport,
mein Stylus, den ich vor einem Monat bei Ihnen gekauft habe, funktioniert plötzlich nicht mehr. Er wird vom Tablet nicht erkannt und scheint komplett defekt zu sein. Für meine Designprojekte bin ich darauf angewiesen, daher brauche ich dringend eine Lösung oder Ersatz. 
Beste Grüße,
Elvira Lederer",3,Hardware
ASUS BW-16D1HT – Gerät funktioniert nicht mehr,"Sehr geehrte Damen und Herren, ich benötige dringend Hilfe. Mein ASUS BW-16D1HT funktioniert seit heute Morgen nicht mehr. Das Gerät liest weder CDs noch DVDs und alle Verbindungen scheinen richtig angeschlossen zu sein. Ich brauche das Gerät für wichtige Backup-Projekte und hoffe auf eine schnelle Lösung. Vielen Dank, Lotti Arens.",3,Hardware
Klärung zu Legal Research Nutzung,"Hallo Kundenservice, bei der Nutzung Ihrer Software „Legal Research",1,Software
Modem startet unerwartet neu,"Sehr geehrte Damen und Herren, seit einigen Tagen zeigt mein Modem unerwartete Neustarts. Das Gerät arbeitet einige Minuten normal, bevor es plötzlich neu hochfährt. Dies verursacht Unterbrechungen in der Internetverbindung. Können Sie das Problem bitte schnellstmöglich untersuchen? Danke. Mit freundlichen Grüßen, Anne-Kathrin Russo",2,Hardware
Labeldrucker funktioniert nicht mehr nach Update,"Sehr geehrte Damen und Herren, mein Name ist Kenan Vo, Kundenummer K387463. Mein Labeldrucker, den ich bei Ihnen gekauft habe, funktioniert seit dem letzten Firmware-Update überhaupt nicht mehr. Er zeigt nur rote Lichter und reagiert nicht mehr auf Befehle. Dies beeinträchtigt meinen Arbeitsfluss erheblich. Bitte um dringende Hilfe. Mit freundlichen Grüßen, Kenan Vo",3,Hardware
Probleme mit ASUS Xonar AE Soundkarte - Verzerrter Sound,"Sehr geehrter Support,
Seit kurzem habe ich Probleme mit meiner ASUS Xonar AE Soundkarte. Der Sound verzerrt und es gibt ein permanentes Knacken. Treiber sind auf dem neuesten Stand. Wie kann ich das Problem lösen?
Mit freundlichen Grüßen,
Sibylle Toprak",2,Hardware
Feedback zum letzten Abrechnungszyklus,"Sehr geehrtes Buchhaltungsteam, ich wollte meine positive Erfahrung mit dem letzten Abrechnungszyklus teilen. Die Abrechnung war klar und transparent, ohne Fehler und pünktlich. Verbesserungen sind nicht nötig, aber vielleicht könnten Sie das Layout etwas moderner gestalten, um es ansprechender zu machen. Beste Grüße, Mi Tin",1,Buchhaltung
Frage zur Nutzung von Compliance Management Software,"Hallo Support-Team, eine Frage: Kann das Compliance Management Berichte exportieren? Falls ja, in welchen Formaten ist dies möglich? Vielen Dank vorab! Grüße, Ol Marie",2,Software
NZXT Kraken Z63 zeigt Fehlercode,"Sehr geehrtes Support-Team, mein NZXT Kraken Z63 zeigt seit gestern einen Fehlercode und kühlt nicht mehr. Das System schaltet sich daher oft ab und ist unbenutzbar. Schnelle Hilfe wäre sehr willkommen. Vielen Dank, Evgeny Bosse",3,Hardware
Probleme beim Hochladen einer App in die Amazon Appstore Developer Console,"Hallo Team,ich habe Schwierigkeiten beim Hochladen meiner neuen App in die Amazon Appstore Developer Console. Es kommt ständig zu einem Formatierungsfehler. Was kann ich tun? Mit freundlichen Grüßen, Evrim Dietze",2,Software
Coinbase Wallet - Update-Anfrage,"Sehr geehrte Damen und Herren, bitte aktualisieren Sie meine Coinbase Wallet Software. Dankeschön!",2,Software
Update auf Grafana 8.5 möglich?,"Sehr geehrtes Grafana-Team, ich wollte nachfragen, ob es möglich ist, von meiner aktuellen Version (7.1) auf die neueste Version 8.5 zu aktualisieren. Wir verwenden einige selbstgeschriebene Plugins, und ich bin mir nicht sicher, ob diese weiterhin kompatibel sind. könnten Sie das bitte prüfen und mir die nächsten Schritte mitteilen? Vielen Dank.",2,Software
Dringend: Angel Investing App startet nach Update nicht,"Sehr geehrte Damen und Herren, seit dem letzten Update lässt sich meine Angel Investing App nicht mehr starten. Ich benötige dringend Hilfe, da ich wichtige Transaktionen derzeit nicht durchführen kann. Vielen Dank, Temel Sahin",3,Software
Dringendes Problem mit Maya 2022 - Stürzt ab,"Hallo Support-Team,

mein Name ist Matt Ekinci und ich nutze Maya 2022 für berufliche Projekte. Seit dem letzten Update stürzt die Software ständig ab, was meine Arbeit extrem beeinträchtigt. Ich habe bereits mehrere Lösungsansätze ohne Erfolg probiert.

Dringend um Hilfe!
Matt Ekinci",3,Software
Fehlende Lieferantenrechnung prüfen,"Sehr geehrte Damen und Herren, bei der Durchsicht unserer Unterlagen ist mir aufgefallen, dass wir eine Lieferantenrechnung von „NetSoft Solutions“ vom 10.09.2023 in Höhe von 5.432,89 € noch nicht erhalten haben. Wir benötigen diese dringend für unsere Steuerunterlagen. Bitte veranlassen Sie die kurzfristige Zusendung. Herzlichen Dank, Meister Gruner",3,Buchhaltung
Positives Feedback für Ihren Kundensupport,"Sehr geehrtes Supportteam,

Ich wollte mich kurz Zeit nehmen, um Ihre ausgezeichneten Dienstleistungen zu loben. Die Unterstützung, die ich bei meiner letzten Anfrage erhalten habe, war sehr hilfreich. Ihr Team hat mein Problem schnell und effizient gelöst. Bitte richten Sie meinen Dank an alle Beteiligten aus.

Mit freundlichen Grüßen,
Luljeta Wegmann",1,Buchhaltung
